actual_class,score_male,score_female
Male,0.202,0.882
Male,0.008,0.919
Male,0.302,0.856
Male,0.07,0.909
Male,0.492,0.783
Male,0.561,0.743
Male,0.076,0.908
Male,0.017,0.918
Male,0.038,0.914
Female,0.123,0.899
Female,0.273,0.865
Female,0.44,0.807
Female,0.133,0.897
Female,0.348,0.842
Female,0.135,0.897
Female,0.367,0.836
Female,0.129,0.898
Female,0.274,0.864
Female,0.204,0.882
