,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,epoch,error_rate,lr,train_df
0,resnet18_5_0.01_0.01_modified_True,resnet18,modified,true,0.01,1,0.51,5.0,0.4,0.01,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.326058    0.746232        0.35   0.64   NaN
1      1    1.494292    0.928135        0.50   0.70   NaN
2      2    1.331969    1.452718        0.65   0.45   NaN
3      3    1.238274    1.205856        0.50   0.43   NaN
4      4    1.166000    0.877918        0.40   0.51   NaN"
1,resnet18_5_0.01_0.01_modified_True,resnet18,modified,true,0.01,2,0.48,5.0,0.55,0.01,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.016708    1.782404        0.55   0.19   NaN
1      1    1.076534    1.748970        0.50   0.46   NaN
2      2    1.284660    1.148808        0.50   0.43   NaN
3      3    1.311674    1.151268        0.55   0.46   NaN
4      4    1.251475    1.166594        0.55   0.48   NaN"
2,resnet18_5_0.01_0.01_modified_True,resnet18,modified,true,0.01,3,0.45679,5.0,0.5,0.01,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.092620    1.213131    0.555556  0.444444   NaN
1      1    1.127381    1.557334    0.500000  0.395062   NaN
2      2    1.447678    1.192443    0.555556  0.419753   NaN
3      3    1.345132    1.099556    0.555556  0.358025   NaN
4      4    1.178876    0.821194    0.500000  0.456790   NaN"
3,resnet18_5_0.01_0.01_modified_True,resnet18,modified,true,0.01,4,0.283951,5.0,0.722222,0.01,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.025191    0.869295    0.388889  0.604938   NaN
1      1    1.107454    3.355484    0.500000  0.592593   NaN
2      2    1.190661    2.078940    0.722222  0.345679   NaN
3      3    1.318976    1.710198    0.611111  0.358025   NaN
4      4    1.301584    1.206625    0.722222  0.283951   NaN"
4,resnet18_5_0.01_0.01_modified_True,resnet18,modified,true,0.01,5,0.654321,5.0,0.388889,0.01,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.860809    2.033182    0.666667  0.296296   NaN
1      1    0.971781    0.824809    0.333333  0.604938   NaN
2      2    1.117420    1.750254    0.555556  0.469136   NaN
3      3    1.200693    0.860982    0.500000  0.604938   NaN
4      4    1.152199    0.782718    0.388889  0.654321   NaN"
5,resnet18_5_0.01_0.03_modified_True,resnet18,modified,true,0.01,1,0.625,5.0,0.45,0.03,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.110806    3.837026        0.50  0.360   NaN
1      1    2.478175    1.988166        0.35  0.670   NaN
2      2    2.977162    1.481358        0.50  0.510   NaN
3      3    2.678851    1.481119        0.40  0.610   NaN
4      4    2.493183    4.931142        0.45  0.625   NaN"
6,resnet18_5_0.01_0.03_modified_True,resnet18,modified,true,0.01,2,0.36,5.0,0.5,0.03,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.351246    2.106933        0.55  0.550   NaN
1      1    2.775264    5.315072        0.45  0.445   NaN
2      2    2.591364    3.376628        0.50  0.500   NaN
3      3    2.561174    2.324906        0.50  0.400   NaN
4      4    2.098192    2.864078        0.50  0.360   NaN"
7,resnet18_5_0.01_0.03_modified_True,resnet18,modified,true,0.01,3,0.530864,5.0,0.333333,0.03,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.459339    1.502162    0.500000  0.432099   NaN
1      1    1.751482    1.594010    0.444444  0.592593   NaN
2      2    2.510407    7.589986    0.555556  0.716049   NaN
3      3    2.934321    1.689302    0.555556  0.382716   NaN
4      4    2.480826    1.338214    0.333333  0.530864   NaN"
8,resnet18_5_0.01_0.03_modified_True,resnet18,modified,true,0.01,4,0.44444399999999995,5.0,0.555556,0.03,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.133799    3.259480    0.833333  0.098765   NaN
1      1    2.228670    2.864724    0.500000  0.604938   NaN
2      2    2.353645    2.243513    0.611111  0.283951   NaN
3      3    2.981735    3.696534    0.611111  0.320988   NaN
4      4    3.117320    3.313694    0.555556  0.444444   NaN"
9,resnet18_5_0.01_0.03_modified_True,resnet18,modified,true,0.01,5,0.48148100000000005,5.0,0.44444399999999995,0.03,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.411968    3.407986    0.500000  0.296296   NaN
1      1    2.128406    6.241793    0.444444  0.530864   NaN
2      2    2.464424    1.695785    0.500000  0.604938   NaN
3      3    2.426185    2.956215    0.611111  0.456790   NaN
4      4    2.443426    7.176191    0.444444  0.481481   NaN"
10,resnet18_5_0.01_0.1_modified_True,resnet18,modified,true,0.01,1,0.71,5.0,0.45,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    2.718295    4.544198        0.55  0.510   NaN
1      1    8.843578   28.661932        0.50  0.390   NaN
2      2   17.073256   13.092125        0.40  0.660   NaN
3      3   16.200029   40.754745        0.45  0.515   NaN
4      4   15.121637   21.859035        0.45  0.710   NaN"
11,resnet18_5_0.01_0.1_modified_True,resnet18,modified,true,0.01,2,0.52,5.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.516129   77.696632        0.50   0.50   NaN
1      1    7.223738   15.744817        0.50   0.60   NaN
2      2   15.940617   12.675192        0.50   0.54   NaN
3      3   16.631723   15.371570        0.35   0.57   NaN
4      4   16.981058   13.867371        0.50   0.52   NaN"
12,resnet18_5_0.01_0.1_modified_True,resnet18,modified,true,0.01,3,0.333333,5.0,0.611111,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    2.720936    8.665802    0.500000  0.493827   NaN
1      1    6.703342   31.297323    0.500000  0.388889   NaN
2      2   10.526263   10.871573    0.555556  0.469136   NaN
3      3   15.916382   23.146690    0.333333  0.802469   NaN
4      4   13.658887    8.224714    0.611111  0.333333   NaN"
