,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,epoch,error_rate,lr,train_df
146,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,147,0.63,7.0,0.45,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.190514    0.890444        0.50   0.60   NaN
1      1    1.250249    1.817914        0.50   0.60   NaN
2      2    1.299726   20.082760        0.50   0.45   NaN
3      3    1.252560    1.277347        0.50   0.49   NaN
4      4    1.023210    1.112437        0.50   0.33   NaN
5      5    0.890150    0.693933        0.45   0.56   NaN
6      6    0.789559    0.688336        0.45   0.63   NaN"
147,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,148,0.48148100000000005,7.0,0.611111,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.450640    7.127429    0.500000  0.574074   NaN
1      1    1.420134    1.488635    0.500000  0.506173   NaN
2      2    1.526827    2.047874    0.500000  0.493827   NaN
3      3    1.323599    1.005956    0.500000  0.530864   NaN
4      4    1.118196    7.465563    0.500000  0.518519   NaN
5      5    0.914150    0.698305    0.500000  0.567901   NaN
6      6    0.796303    0.710386    0.611111  0.481481   NaN"
148,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,149,0.555556,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.295682    2.896501         0.5  0.493827   NaN
1      1    1.310455    6.901337         0.5  0.209877   NaN
2      2    1.258433    6.369461         0.5  0.555556   NaN
3      3    1.181751    0.733632         0.5  0.333333   NaN
4      4    1.006280    1.164491         0.5  0.456790   NaN
5      5    0.848155    1.088317         0.5  0.604938   NaN
6      6    0.789937    0.707598         0.5  0.555556   NaN"
149,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,150,0.691358,7.0,0.333333,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.333262    3.561857    0.500000  0.407407   NaN
1      1    1.334381    2.801192    0.500000  0.358025   NaN
2      2    1.335824    3.903800    0.500000  0.308642   NaN
3      3    1.145927    0.795399    0.500000  0.580247   NaN
4      4    0.974542    0.690933    0.444444  0.641975   NaN
5      5    0.835627    0.707621    0.555556  0.395062   NaN
6      6    0.759522    0.676669    0.333333  0.691358   NaN"
150,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,151,0.54,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.246388    1.314541        0.50   0.30   NaN
1      1    1.175979    0.769533        0.50   0.49   NaN
2      2    1.501228    1.359239        0.50   0.47   NaN
3      3    1.318922    0.728838        0.50   0.62   NaN
4      4    1.082239    0.692963        0.55   0.54   NaN
5      5    0.908685    0.736980        0.50   0.45   NaN
6      6    0.805770    0.705292        0.50   0.54   NaN"
151,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,152,0.39,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.286023    0.750883        0.50   0.52   NaN
1      1    1.326046    0.906117        0.50   0.60   NaN
2      2    1.335200    0.800487        0.50   0.54   NaN
3      3    1.293784    1.525237        0.50   0.52   NaN
4      4    1.078174    0.807999        0.45   0.55   NaN
5      5    0.913242    0.717482        0.50   0.59   NaN
6      6    0.811752    0.716657        0.50   0.39   NaN"
152,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,153,0.333333,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.408425    1.169075    0.500000  0.580247   NaN
1      1    1.278833    0.698004    0.500000  0.333333   NaN
2      2    1.280851    0.950057    0.555556  0.456790   NaN
3      3    1.132261   13.008648    0.500000  0.500000   NaN
4      4    0.985906    0.700125    0.500000  0.703704   NaN
5      5    0.856134    0.694956    0.500000  0.641975   NaN
6      6    0.782534    0.702385    0.500000  0.333333   NaN"
153,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,154,0.5802470000000001,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.297009    0.673908    0.444444  0.802469   NaN
1      1    1.353414    2.927179    0.500000  0.728395   NaN
2      2    1.480711    0.771192    0.500000  0.555556   NaN
3      3    1.269875   35.322769    0.500000  0.506173   NaN
4      4    1.051480    0.699050    0.500000  0.419753   NaN
5      5    0.885786    0.697131    0.500000  0.481481   NaN
6      6    0.800262    0.700549    0.500000  0.580247   NaN"
154,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,155,0.506173,7.0,0.5,0.1,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    1.206393      2.592116         0.5  0.197531   NaN
1      1    1.257584      2.002577         0.5  0.518519   NaN
2      2    1.339290  21981.257812         0.5  0.500000   NaN
3      3    1.240292      1.133317         0.5  0.530864   NaN
4      4    0.995578      0.709186         0.5  0.271605   NaN
5      5    0.867143      0.690375         0.5  0.555556   NaN
6      6    0.790339      0.705900         0.5  0.506173   NaN"
155,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,156,0.28,7.0,0.65,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.222793    1.416558        0.50   0.52   NaN
1      1    1.246101    0.830314        0.50   0.14   NaN
2      2    1.213165    0.984336        0.45   0.73   NaN
3      3    1.214029    0.791201        0.50   0.50   NaN
4      4    1.022314    0.714261        0.50   0.75   NaN
5      5    0.872646    0.718902        0.50   0.50   NaN
6      6    0.780023    0.743015        0.65   0.28   NaN"
