,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC,AUROC_at_min_error,error_rate,min_error_rate
10,resnet50_1_modified_True,resnet50,modified,True,1,11,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.925774    1.183926        0.65   0.30   NaN
1      1    1.026683    1.128843        0.60   0.56   NaN
2      2    0.935538    0.994804        0.55   0.46   NaN
3      3    0.884445    0.743402        0.45   0.57   NaN
4      4    0.794034    0.787937        0.45   0.40   NaN
5      5    0.827739    0.666880        0.40   0.63   NaN
6      6    0.823475    0.719131        0.50   0.49   NaN
7      7    0.709174    0.709624        0.40   0.52   NaN",0.52,0.63,0.4,0.4
11,resnet50_1_modified_True,resnet50,modified,True,1,12,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.029442    1.106811        0.50   0.62   NaN
1      1    0.928476    0.847887        0.45   0.56   NaN
2      2    0.950049    0.769404        0.60   0.50   NaN
3      3    0.892822    0.777206        0.50   0.38   NaN
4      4    0.786706    0.799225        0.50   0.41   NaN
5      5    0.733749    0.724797        0.45   0.48   NaN
6      6    0.733970    0.741590        0.60   0.46   NaN
7      7    0.703824    0.712531        0.50   0.49   NaN",0.49,0.56,0.5,0.45
12,resnet50_1_modified_True,resnet50,modified,True,1,13,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.053151    0.876129    0.555556  0.493827   NaN
1      1    0.976157    0.775321    0.500000  0.604938   NaN
2      2    0.905630    0.730354    0.444444  0.641975   NaN
3      3    0.807024    0.581708    0.333333  0.790123   NaN
4      4    0.786517    0.604843    0.333333  0.765432   NaN
5      5    0.727906    0.614522    0.388889  0.740741   NaN
6      6    0.754803    0.588805    0.388889  0.740741   NaN
7      7    0.757580    0.576130    0.222222  0.827160   NaN",0.82716,0.82716,0.22222199999999998,0.22222199999999998
13,resnet50_1_modified_True,resnet50,modified,True,1,14,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.027797    0.996585    0.555556  0.382716   NaN
1      1    1.060749    0.812064    0.444444  0.530864   NaN
2      2    0.952452    0.551022    0.333333  0.864198   NaN
3      3    0.858558    0.708054    0.500000  0.654321   NaN
4      4    0.863169    0.652228    0.333333  0.703704   NaN
5      5    0.818416    0.715161    0.500000  0.506173   NaN
6      6    0.765496    0.691661    0.555556  0.530864   NaN
7      7    0.773598    0.678648    0.444444  0.567901   NaN",0.567901,0.8641979999999999,0.44444399999999995,0.333333
14,resnet50_1_modified_True,resnet50,modified,True,1,15,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.059743    1.236276    0.666667  0.320988   NaN
1      1    1.027846    1.606871    0.388889  0.358025   NaN
2      2    0.972128    0.995432    0.555556  0.580247   NaN
3      3    0.935955    0.749947    0.444444  0.518519   NaN
4      4    0.814420    0.688504    0.500000  0.654321   NaN
5      5    0.824650    0.705264    0.444444  0.555556   NaN
6      6    0.801118    0.669956    0.333333  0.604938   NaN
7      7    0.774994    0.664088    0.333333  0.703704   NaN",0.703704,0.604938,0.333333,0.333333
15,resnet50_1_modified_True,resnet50,modified,True,1,16,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.260273    0.740135        0.55   0.51   NaN
1      1    1.119242    0.846306        0.45   0.58   NaN
2      2    0.953981    0.646423        0.40   0.63   NaN
3      3    0.939213    0.561224        0.30   0.90   NaN
4      4    0.840794    0.571099        0.25   0.83   NaN
5      5    0.767742    0.610506        0.30   0.81   NaN
6      6    0.717373    0.585494        0.20   0.83   NaN
7      7    0.727466    0.593955        0.20   0.81   NaN",0.81,0.83,0.2,0.2
16,resnet50_1_modified_True,resnet50,modified,True,1,17,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.960724    0.951486        0.50   0.40   NaN
1      1    0.969609    0.557201        0.35   0.79   NaN
2      2    0.935397    0.898071        0.50   0.50   NaN
3      3    0.827944    0.905551        0.70   0.30   NaN
4      4    0.747222    0.872166        0.55   0.38   NaN
5      5    0.746050    0.777562        0.65   0.39   NaN
6      6    0.738527    0.804455        0.55   0.43   NaN
7      7    0.744626    0.743503        0.55   0.51   NaN",0.51,0.79,0.55,0.35
17,resnet50_1_modified_True,resnet50,modified,True,1,18,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.919860    0.799428    0.444444  0.592593   NaN
1      1    1.072991    1.031939    0.444444  0.604938   NaN
2      2    0.962257    0.964248    0.500000  0.370370   NaN
3      3    0.969720    0.962649    0.722222  0.246914   NaN
4      4    0.850711    0.779042    0.555556  0.345679   NaN
5      5    0.773410    0.847273    0.611111  0.222222   NaN
6      6    0.727288    0.815737    0.555556  0.382716   NaN
7      7    0.715112    0.905834    0.500000  0.382716   NaN",0.382716,0.592593,0.5,0.44444399999999995
18,resnet50_1_modified_True,resnet50,modified,True,1,19,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.068221    0.948953    0.666667  0.358025   NaN
1      1    1.072259    0.984336    0.611111  0.407407   NaN
2      2    0.972639    1.007749    0.555556  0.296296   NaN
3      3    0.925053    0.786710    0.666667  0.395062   NaN
4      4    0.847507    0.757074    0.555556  0.456790   NaN
5      5    0.780102    0.746978    0.555556  0.333333   NaN
6      6    0.728047    0.738538    0.444444  0.419753   NaN
7      7    0.732088    0.693845    0.388889  0.543210   NaN",0.5432100000000001,0.5432100000000001,0.388889,0.388889
19,resnet50_1_modified_True,resnet50,modified,True,1,20,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.908440    0.902060    0.500000  0.592593   NaN
1      1    0.955288    0.689302    0.444444  0.691358   NaN
2      2    0.888692    0.811846    0.555556  0.456790   NaN
3      3    0.853556    0.813339    0.500000  0.481481   NaN
4      4    0.761527    0.656368    0.444444  0.679012   NaN
5      5    0.726974    0.680255    0.555556  0.654321   NaN
6      6    0.790403    0.676962    0.500000  0.728395   NaN
7      7    0.760334    0.686728    0.555556  0.629630   NaN",0.62963,0.691358,0.555556,0.44444399999999995
20,resnet50_1_modified_True,resnet50,modified,True,1,21,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.747667    1.084278        0.70   0.28   NaN
1      1    0.840372    0.783233        0.50   0.54   NaN
2      2    0.830751    0.990053        0.55   0.42   NaN
3      3    0.769032    0.873938        0.55   0.45   NaN
4      4    0.750303    0.875421        0.60   0.43   NaN
5      5    0.754429    0.856641        0.50   0.45   NaN
6      6    0.721964    0.839092        0.50   0.46   NaN
7      7    0.731095    0.870132        0.50   0.49   NaN",0.49,0.54,0.5,0.5
21,resnet50_1_modified_True,resnet50,modified,True,1,22,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.944720    1.044350        0.65   0.34   NaN
1      1    0.942002    0.916672        0.55   0.43   NaN
2      2    0.933953    1.037350        0.65   0.08   NaN
3      3    0.829075    0.874685        0.65   0.35   NaN
4      4    0.791220    0.909308        0.50   0.34   NaN
5      5    0.817183    0.979760        0.55   0.37   NaN
6      6    0.788287    0.812729        0.65   0.33   NaN
7      7    0.731662    0.795711        0.60   0.32   NaN",0.32,0.34,0.6,0.5
22,resnet50_1_modified_True,resnet50,modified,True,1,23,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.886160    0.768722    0.500000  0.654321   NaN
1      1    0.811356    1.257666    0.555556  0.333333   NaN
2      2    0.883555    0.957523    0.555556  0.518519   NaN
3      3    0.861898    0.987497    0.611111  0.432099   NaN
4      4    0.802068    0.799290    0.555556  0.432099   NaN
5      5    0.777078    0.756077    0.444444  0.518519   NaN
6      6    0.780121    0.881859    0.555556  0.246914   NaN
7      7    0.755533    0.836935    0.555556  0.283951   NaN",0.283951,0.518519,0.555556,0.44444399999999995
23,resnet50_1_modified_True,resnet50,modified,True,1,24,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.904677    0.934794    0.500000  0.481481   NaN
1      1    0.902699    1.007459    0.444444  0.604938   NaN
2      2    0.888433    0.832741    0.444444  0.679012   NaN
3      3    0.869130    0.589509    0.333333  0.790123   NaN
4      4    0.834076    0.597095    0.388889  0.753086   NaN
5      5    0.797681    0.613743    0.277778  0.765432   NaN
6      6    0.790493    0.623695    0.333333  0.753086   NaN
7      7    0.732415    0.635029    0.388889  0.679012   NaN",0.679012,0.765432,0.388889,0.277778
24,resnet50_1_modified_True,resnet50,modified,True,1,25,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.843660    0.892738    0.444444  0.567901   NaN
1      1    0.880683    1.138571    0.444444  0.358025   NaN
2      2    0.852645    0.760900    0.444444  0.506173   NaN
3      3    0.828704    0.874700    0.666667  0.320988   NaN
4      4    0.842721    0.856156    0.555556  0.370370   NaN
5      5    0.762800    0.880332    0.500000  0.333333   NaN
6      6    0.722204    0.867059    0.555556  0.271605   NaN
7      7    0.746622    0.855506    0.666667  0.283951   NaN",0.283951,0.567901,0.666667,0.44444399999999995
