,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC_8,AUROC_9,error_rate_8,error_rate_9
0,resnet18_1_none_False,resnet18,none,False,1,1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.907075    0.676256        0.35   0.67   NaN
1      1    0.959233    1.007648        0.45   0.49   NaN
2      2    0.923545    0.921242        0.50   0.49   NaN
3      3    0.808529    0.693486        0.40   0.60   NaN
4      4    0.749423    0.733850        0.35   0.57   NaN
5      5    0.709735    0.642846        0.30   0.71   NaN
6      6    0.656180    0.670548        0.30   0.65   NaN
7      7    0.629941    0.656784        0.35   0.69   NaN
8      8    0.646427    0.662086        0.35   0.67   NaN",0.69,0.67,0.35,0.35
1,resnet18_1_none_False,resnet18,none,False,1,2,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.874839    0.882022        0.55   0.48   NaN
1      1    0.872741    0.694413        0.40   0.65   NaN
2      2    0.784148    0.710196        0.40   0.63   NaN
3      3    0.773882    0.582454        0.30   0.74   NaN
4      4    0.714579    0.659550        0.40   0.56   NaN
5      5    0.718537    0.675917        0.20   0.71   NaN
6      6    0.635306    0.825196        0.60   0.48   NaN
7      7    0.662284    0.800810        0.60   0.48   NaN
8      8    0.619787    0.733081        0.55   0.56   NaN",0.48,0.56,0.6,0.55
2,resnet18_1_none_False,resnet18,none,False,1,3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.976472    0.801520    0.444444  0.555556   NaN
1      1    0.869953    0.944893    0.555556  0.444444   NaN
2      2    0.905366    0.637455    0.333333  0.728395   NaN
3      3    0.835945    0.700117    0.500000  0.604938   NaN
4      4    0.738298    0.727143    0.277778  0.666667   NaN
5      5    0.713986    0.722599    0.500000  0.518519   NaN
6      6    0.727214    0.644204    0.333333  0.703704   NaN
7      7    0.718996    0.659057    0.333333  0.691358   NaN
8      8    0.666934    0.675832    0.333333  0.691358   NaN",0.691358,0.691358,0.333333,0.333333
3,resnet18_1_none_False,resnet18,none,False,1,4,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.780670    0.763448    0.333333  0.666667   NaN
1      1    0.770714    0.782727    0.555556  0.469136   NaN
2      2    0.804842    0.670898    0.388889  0.629630   NaN
3      3    0.793881    0.702359    0.388889  0.506173   NaN
4      4    0.767223    0.725482    0.555556  0.493827   NaN
5      5    0.741748    0.741342    0.555556  0.518519   NaN
6      6    0.699685    0.769346    0.555556  0.345679   NaN
7      7    0.701949    0.734203    0.500000  0.419753   NaN
8      8    0.673456    0.717161    0.444444  0.481481   NaN",0.419753,0.48148100000000005,0.5,0.44444399999999995
4,resnet18_1_none_False,resnet18,none,False,1,5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.003556    0.807112    0.444444  0.493827   NaN
1      1    0.912185    0.764678    0.444444  0.493827   NaN
2      2    0.889207    0.728255    0.388889  0.592593   NaN
3      3    0.852542    0.660951    0.444444  0.629630   NaN
4      4    0.778021    0.631427    0.500000  0.654321   NaN
5      5    0.775699    0.629416    0.444444  0.777778   NaN
6      6    0.750054    0.602304    0.333333  0.814815   NaN
7      7    0.702111    0.617101    0.333333  0.802469   NaN
8      8    0.671312    0.604464    0.277778  0.777778   NaN",0.802469,0.777778,0.333333,0.277778
5,resnet18_1_none_False,resnet18,none,False,1,6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.127829    0.813639        0.60   0.48   NaN
1      1    0.891075    0.903742        0.55   0.49   NaN
2      2    0.825403    0.683042        0.30   0.65   NaN
3      3    0.786929    0.749241        0.60   0.47   NaN
4      4    0.774127    0.798409        0.55   0.40   NaN
5      5    0.689374    0.793086        0.60   0.38   NaN
6      6    0.647523    0.786312        0.55   0.48   NaN
7      7    0.633355    0.752869        0.55   0.48   NaN
8      8    0.641333    0.736769        0.60   0.47   NaN",0.48,0.47,0.55,0.6
6,resnet18_1_none_False,resnet18,none,False,1,7,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.996751    0.676649        0.30   0.66   NaN
1      1    0.936222    0.836430        0.60   0.42   NaN
2      2    0.878803    0.818376        0.60   0.40   NaN
3      3    0.734138    0.820288        0.40   0.46   NaN
4      4    0.714579    0.801216        0.55   0.46   NaN
5      5    0.712943    0.787677        0.60   0.42   NaN
6      6    0.687848    0.769288        0.55   0.45   NaN
7      7    0.667263    0.786724        0.60   0.40   NaN
8      8    0.634645    0.733717        0.55   0.48   NaN",0.4,0.48,0.6,0.55
7,resnet18_1_none_False,resnet18,none,False,1,8,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.985411    0.828366    0.500000  0.543210   NaN
1      1    0.874898    0.796534    0.500000  0.567901   NaN
2      2    0.828775    0.787175    0.388889  0.691358   NaN
3      3    0.796585    0.605055    0.333333  0.765432   NaN
4      4    0.768436    0.635019    0.222222  0.728395   NaN
5      5    0.737582    0.645367    0.444444  0.679012   NaN
6      6    0.668265    0.637471    0.333333  0.716049   NaN
7      7    0.645787    0.629024    0.333333  0.728395   NaN
8      8    0.637520    0.661460    0.388889  0.691358   NaN",0.728395,0.691358,0.333333,0.388889
8,resnet18_1_none_False,resnet18,none,False,1,9,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.827090    0.708764    0.277778  0.580247   NaN
1      1    0.795445    0.714869    0.500000  0.604938   NaN
2      2    0.785502    0.763079    0.444444  0.567901   NaN
3      3    0.783183    0.773408    0.555556  0.493827   NaN
4      4    0.766262    0.822215    0.666667  0.358025   NaN
5      5    0.723942    0.745300    0.555556  0.518519   NaN
6      6    0.689402    0.725238    0.500000  0.567901   NaN
7      7    0.686893    0.681506    0.500000  0.641975   NaN
8      8    0.621623    0.719461    0.555556  0.543210   NaN",0.641975,0.5432100000000001,0.5,0.555556
9,resnet18_1_none_False,resnet18,none,False,1,10,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.028511    0.857973    0.500000  0.395062   NaN
1      1    0.932550    0.671782    0.444444  0.641975   NaN
2      2    0.840969    0.707363    0.388889  0.641975   NaN
3      3    0.731410    0.803035    0.500000  0.555556   NaN
4      4    0.742085    0.766427    0.500000  0.493827   NaN
5      5    0.656612    0.784047    0.500000  0.444444   NaN
6      6    0.653549    0.738340    0.555556  0.493827   NaN
7      7    0.678436    0.784970    0.611111  0.345679   NaN
8      8    0.644703    0.743148    0.611111  0.432099   NaN",0.345679,0.43209899999999996,0.611111,0.611111
