,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,epoch,error_rate,lr,train_df
0,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,1,0.52,7.0,0.5,0.3,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.771569    1.175850         0.5  0.510   NaN
1      1    2.201258  913.106079         0.5  0.500   NaN
2      2    3.528614   10.479480         0.5  0.500   NaN
3      3    3.133857    7.218740         0.5  0.805   NaN
4      4    2.153565    0.723058         0.5  0.420   NaN
5      5    1.425225    0.697133         0.5  0.440   NaN
6      6    1.049895    0.696136         0.5  0.520   NaN"
1,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,2,0.32,7.0,0.5,0.3,"   epoch  train_loss    valid_loss  error_rate  AUROC  time
0      0    1.560868  1.270253e+00        0.50   0.34   NaN
1      1    2.908318  2.032538e+00        0.55   0.55   NaN
2      2    3.471582  1.338154e+06        0.50   0.50   NaN
3      3    3.294399  1.430754e+01        0.50   0.42   NaN
4      4    1.987267  7.300870e-01        0.50   0.51   NaN
5      5    1.363552  6.954620e-01        0.50   0.58   NaN
6      6    1.015688  7.322870e-01        0.50   0.32   NaN"
2,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,3,0.666667,7.0,0.5,0.3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.584389    1.007068         0.5  0.518519   NaN
1      1    2.248435  247.135849         0.5  0.500000   NaN
2      2    3.068505  491.222046         0.5  0.500000   NaN
3      3    2.948332    0.761463         0.5  0.320988   NaN
4      4    1.889366    0.913032         0.5  0.382716   NaN
5      5    1.270052    0.693326         0.5  0.580247   NaN
6      6    0.960861    0.690547         0.5  0.666667   NaN"
3,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,4,0.530864,7.0,0.555556,0.3,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    1.658201  6.873340e-01    0.500000  0.740741   NaN
1      1    2.723908  7.367383e+00    0.500000  0.493827   NaN
2      2    3.598369  1.350492e+08    0.500000  0.500000   NaN
3      3    2.837130  1.955551e+00    0.500000  0.506173   NaN
4      4    1.841596  7.924340e-01    0.500000  0.604938   NaN
5      5    1.256713  6.809840e-01    0.388889  0.740741   NaN
6      6    0.963656  6.941490e-01    0.555556  0.530864   NaN"
4,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,5,0.407407,7.0,0.555556,0.3,"   epoch  train_loss     valid_loss  error_rate     AUROC  time
0      0    1.530899       0.690407    0.444444  0.555556   NaN
1      1    3.218836       4.071185    0.500000  0.629630   NaN
2      2    3.823008   12331.270508    0.500000  0.500000   NaN
3      3    2.896440  882604.125000    0.500000  0.500000   NaN
4      4    1.965396       0.702272    0.500000  0.506173   NaN
5      5    1.289969       0.710197    0.500000  0.469136   NaN
6      6    0.979215       0.716945    0.555556  0.407407   NaN"
5,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,6,0.75,7.0,0.5,0.3,"   epoch  train_loss   valid_loss  error_rate  AUROC  time
0      0    1.539529     0.763938        0.50   0.57   NaN
1      1    1.983443  4840.225586        0.50   0.50   NaN
2      2    3.623989  6746.208496        0.50   0.50   NaN
3      3    2.798357     6.341840        0.50   0.33   NaN
4      4    2.002994     1.177491        0.45   0.45   NaN
5      5    1.360402     0.695932        0.50   0.39   NaN
6      6    1.013410     0.685582        0.50   0.75   NaN"
6,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,7,0.28,7.0,0.55,0.3,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.787119    1.218886        0.50  0.570   NaN
1      1    2.146650    3.288243        0.50  0.350   NaN
2      2    3.725038    5.400777        0.50  0.760   NaN
3      3    3.435165    2.512255        0.50  0.430   NaN
4      4    2.097109    1.378064        0.50  0.285   NaN
5      5    1.390426    0.695746        0.50  0.700   NaN
6      6    1.029326    0.705388        0.55  0.280   NaN"
7,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,8,0.617284,7.0,0.611111,0.3,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    1.732503      2.657494    0.500000  0.395062   NaN
1      1    2.466588  12901.020508    0.500000  0.500000   NaN
2      2    3.476847   2073.078857    0.500000  0.500000   NaN
3      3    2.843018      0.710670    0.500000  0.617284   NaN
4      4    1.960252      0.696948    0.500000  0.592593   NaN
5      5    1.317501      0.713059    0.500000  0.382716   NaN
6      6    0.995804      0.693559    0.611111  0.617284   NaN"
8,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,9,0.382716,7.0,0.5,0.3,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    1.320558      0.712537    0.777778  0.222222   NaN
1      1    2.100578  12488.792969    0.500000  0.500000   NaN
2      2    4.419005     23.916288    0.500000  0.500000   NaN
3      3    3.487392      0.700948    0.500000  0.469136   NaN
4      4    2.095345      1.859223    0.500000  0.740741   NaN
5      5    1.372717      0.696290    0.500000  0.518519   NaN
6      6    1.026648      0.703594    0.500000  0.382716   NaN"
9,resnet18_7_1_0.3_modified_True,resnet18,modified,true,1,10,0.728395,7.0,0.333333,0.3,"   epoch  train_loss   valid_loss  error_rate     AUROC  time
0      0    1.570089     0.838451    0.500000  0.493827   NaN
1      1    2.667880  4186.114746    0.500000  0.500000   NaN
2      2    3.513450     4.642453    0.500000  0.444444   NaN
3      3    3.133625     3.961673    0.500000  0.345679   NaN
4      4    2.158763     0.820235    0.500000  0.790123   NaN
5      5    1.461454     0.687546    0.500000  0.777778   NaN
6      6    1.049345     0.682195    0.333333  0.728395   NaN"
