,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC,error_rate
15,resnet50_0.01_modified_True,resnet50,modified,True,0.01,16,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.195292    0.647301        0.50   0.68   NaN
1      1    1.170149    0.774293        0.45   0.56   NaN
2      2    0.990720    1.384679        0.45   0.33   NaN
3      3    0.945017    0.816388        0.70   0.41   NaN
4      4    0.858236    0.853162        0.60   0.40   NaN",0.4,0.6
16,resnet50_0.01_modified_True,resnet50,modified,True,0.01,17,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.059353    1.609393        0.50   0.69   NaN
1      1    1.039396    1.134989        0.50   0.46   NaN
2      2    0.976747    0.925594        0.45   0.55   NaN
3      3    0.935725    0.911653        0.45   0.52   NaN
4      4    0.874589    1.047947        0.50   0.57   NaN",0.57,0.5
17,resnet50_0.01_modified_True,resnet50,modified,True,0.01,18,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.179354    1.644213    0.666667  0.296296   NaN
1      1    1.346476    1.259681    0.444444  0.382716   NaN
2      2    1.088582    0.914843    0.500000  0.580247   NaN
3      3    1.075676    1.247648    0.666667  0.395062   NaN
4      4    1.001978    1.128489    0.555556  0.358025   NaN",0.358025,0.555556
18,resnet50_0.01_modified_True,resnet50,modified,True,0.01,19,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.957397    0.609178    0.277778  0.753086   NaN
1      1    1.054616    0.956018    0.333333  0.530864   NaN
2      2    0.959066    0.768980    0.444444  0.641975   NaN
3      3    0.894907    0.796024    0.388889  0.604938   NaN
4      4    0.850777    0.921525    0.500000  0.518519   NaN",0.518519,0.5
19,resnet50_0.01_modified_True,resnet50,modified,True,0.01,20,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.221292    0.721058    0.333333  0.728395   NaN
1      1    1.107859    1.048048    0.500000  0.555556   NaN
2      2    0.979537    0.883940    0.500000  0.518519   NaN
3      3    0.872572    0.906539    0.555556  0.493827   NaN
4      4    0.877329    0.909984    0.444444  0.469136   NaN",0.46913599999999994,0.44444399999999995
20,resnet50_0.01_modified_True,resnet50,modified,True,0.01,21,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.136487    2.086721        0.50   0.55   NaN
1      1    1.190977    0.964624        0.40   0.47   NaN
2      2    1.093953    1.254060        0.50   0.61   NaN
3      3    1.044719    1.102950        0.45   0.57   NaN
4      4    0.973442    0.849668        0.40   0.48   NaN",0.48,0.4
21,resnet50_0.01_modified_True,resnet50,modified,True,0.01,22,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.935028    1.190958        0.45   0.47   NaN
1      1    1.110672    1.239657        0.65   0.26   NaN
2      2    0.956724    1.240689        0.65   0.20   NaN
3      3    0.863020    1.132560        0.65   0.24   NaN
4      4    0.781181    1.089291        0.65   0.22   NaN",0.22,0.65
22,resnet50_0.01_modified_True,resnet50,modified,True,0.01,23,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.063250    1.196173    0.666667  0.271605   NaN
1      1    1.129108    1.000510    0.444444  0.641975   NaN
2      2    1.054887    0.871068    0.444444  0.518519   NaN
3      3    0.898682    0.996191    0.500000  0.444444   NaN
4      4    0.842997    1.124374    0.666667  0.271605   NaN",0.27160500000000004,0.666667
23,resnet50_0.01_modified_True,resnet50,modified,True,0.01,24,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.232303    0.752492    0.388889  0.567901   NaN
1      1    1.010430    1.111482    0.500000  0.617284   NaN
2      2    1.028053    0.876429    0.555556  0.493827   NaN
3      3    0.904093    0.750310    0.444444  0.592593   NaN
4      4    0.841321    0.805689    0.611111  0.530864   NaN",0.530864,0.611111
24,resnet50_0.01_modified_True,resnet50,modified,True,0.01,25,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.229981    0.753855    0.333333  0.580247   NaN
1      1    1.208449    0.988761    0.555556  0.382716   NaN
2      2    1.130801    1.017225    0.611111  0.283951   NaN
3      3    0.976683    0.900657    0.555556  0.370370   NaN
4      4    0.788042    0.962978    0.611111  0.320988   NaN",0.320988,0.611111
