,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC_8,AUROC_9,error_rate_8,error_rate_9,train_df
10,resnet18_0.01_modified_True,resnet18,modified,True,0.01,1,0.75,0.75,0.25,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.864603    0.823118       0.375  0.3750   NaN
1      1    1.019791    0.818112       0.500  0.6250   NaN
2      2    1.022154    0.982985       0.500  0.5625   NaN
3      3    0.982291    0.807559       0.250  0.6875   NaN
4      4    0.979396    0.783308       0.375  0.6875   NaN
5      5    0.949981    0.753662       0.375  0.6875   NaN
6      6    0.942929    0.679079       0.500  0.7500   NaN
7      7    1.029259    0.626267       0.250  0.7500   NaN
8      8    0.985279    0.576066       0.500  0.7500   NaN"
11,resnet18_0.01_modified_True,resnet18,modified,True,0.01,2,0.25,0.4375,0.5,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.877136    0.841412       0.625  0.4375   NaN
1      1    0.896641    1.317646       0.750  0.2500   NaN
2      2    0.913867    0.854210       0.375  0.3750   NaN
3      3    0.902721    0.858638       0.625  0.2500   NaN
4      4    0.769148    1.147959       0.500  0.3125   NaN
5      5    0.760110    1.382491       0.375  0.2500   NaN
6      6    0.745868    1.502024       0.500  0.3125   NaN
7      7    0.757457    1.240232       0.500  0.2500   NaN
8      8    0.832836    0.894511       0.500  0.4375   NaN"
12,resnet18_0.01_modified_True,resnet18,modified,True,0.01,3,0.5,0.4375,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.773731    0.793635       0.500  0.5000   NaN
1      1    0.890108    0.974584       0.500  0.3750   NaN
2      2    1.009492    0.963593       0.500  0.5625   NaN
3      3    1.000718    1.025806       0.375  0.6250   NaN
4      4    0.989961    0.988266       0.375  0.5625   NaN
5      5    1.043854    0.874976       0.375  0.5625   NaN
6      6    0.992422    0.862703       0.375  0.5000   NaN
7      7    0.982919    0.986723       0.375  0.5000   NaN
8      8    0.902872    0.952854       0.375  0.4375   NaN"
13,resnet18_0.01_modified_True,resnet18,modified,True,0.01,4,0.1875,0.5625,0.5,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.872028    0.527832       0.000  1.0000   NaN
1      1    0.927285    0.893802       0.500  0.4375   NaN
2      2    0.798051    1.380775       0.500  0.4375   NaN
3      3    0.835492    1.684985       0.500  0.3750   NaN
4      4    0.948030    1.257134       0.500  0.6250   NaN
5      5    0.869740    1.101357       0.625  0.3750   NaN
6      6    0.856996    1.299623       0.500  0.4375   NaN
7      7    0.807029    1.564249       0.500  0.1875   NaN
8      8    0.809600    1.041920       0.500  0.5625   NaN"
14,resnet18_0.01_modified_True,resnet18,modified,True,0.01,5,0.25,0.083333,0.571429,0.571429,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.291570    0.918494    0.428571  0.416667   NaN
1      1    1.137976    0.897059    0.571429  0.333333   NaN
2      2    1.140812    0.756501    0.571429  0.500000   NaN
3      3    1.125717    0.727964    0.428571  0.500000   NaN
4      4    1.095547    0.885537    0.428571  0.333333   NaN
5      5    0.969407    1.064684    0.714286  0.250000   NaN
6      6    0.858549    1.171697    0.857143  0.250000   NaN
7      7    0.888835    1.255132    0.571429  0.250000   NaN
8      8    0.982803    1.264983    0.571429  0.083333   NaN"
15,resnet18_0.01_None_False,resnet18,None,False,0.01,1,0.8125,0.8125,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.971357    0.526427       0.250  0.8750   NaN
1      1    0.956468    0.826592       0.625  0.3750   NaN
2      2    0.935438    0.504984       0.250  0.7500   NaN
3      3    0.838507    0.559824       0.250  0.7500   NaN
4      4    0.811488    0.486965       0.375  0.8125   NaN
5      5    0.737157    0.552507       0.250  0.8125   NaN
6      6    0.779114    0.550131       0.375  0.8125   NaN
7      7    0.833949    0.532012       0.375  0.8125   NaN
8      8    0.880103    0.534357       0.375  0.8125   NaN"
16,resnet18_0.01_None_False,resnet18,None,False,0.01,2,0.75,0.5625,0.25,0.25,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.987666    0.441293       0.125  0.9375   NaN
1      1    0.901726    0.810354       0.500  0.6250   NaN
2      2    0.819992    0.693542       0.250  0.6250   NaN
3      3    0.762133    0.823220       0.500  0.6250   NaN
4      4    0.696403    0.844426       0.500  0.5625   NaN
5      5    0.739224    0.790022       0.250  0.6875   NaN
6      6    0.693731    0.751922       0.125  0.7500   NaN
7      7    0.690756    0.715698       0.250  0.7500   NaN
8      8    0.633666    0.828410       0.250  0.5625   NaN"
17,resnet18_0.01_None_False,resnet18,None,False,0.01,3,0.8125,0.6875,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.835160    0.734943       0.625  0.6250   NaN
1      1    0.851801    0.594481       0.375  0.7500   NaN
2      2    0.809660    0.556257       0.250  0.8125   NaN
3      3    0.678975    0.625981       0.250  0.7500   NaN
4      4    0.610749    0.638938       0.375  0.6875   NaN
5      5    0.568707    0.638381       0.375  0.6875   NaN
6      6    0.592158    0.641202       0.375  0.8125   NaN
7      7    0.578534    0.622206       0.375  0.8125   NaN
8      8    0.637617    0.689024       0.375  0.6875   NaN"
18,resnet18_0.01_None_False,resnet18,None,False,0.01,4,0.3125,0.375,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.897368    0.754100       0.500  0.4375   NaN
1      1    0.777889    1.268347       0.625  0.1875   NaN
2      2    0.805569    1.000553       0.500  0.6250   NaN
3      3    0.743066    1.170847       0.500  0.3750   NaN
4      4    0.804174    1.094839       0.625  0.5000   NaN
5      5    0.653385    1.207876       0.625  0.4375   NaN
6      6    0.577049    1.363153       0.750  0.4375   NaN
7      7    0.590153    1.477360       0.625  0.3125   NaN
8      8    0.582562    1.643254       0.625  0.3750   NaN"
19,resnet18_0.01_None_False,resnet18,None,False,0.01,5,0.666667,0.666667,0.428571,0.28571399999999997,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.802028    0.662760    0.285714  0.666667   NaN
1      1    0.817422    0.755517    0.428571  0.583333   NaN
2      2    0.892843    0.637319    0.428571  0.750000   NaN
3      3    0.793220    0.680652    0.142857  0.666667   NaN
4      4    0.779828    0.780703    0.142857  0.666667   NaN
5      5    0.762229    0.945877    0.285714  0.500000   NaN
6      6    0.865678    0.848184    0.428571  0.583333   NaN
7      7    0.759405    0.860609    0.428571  0.666667   NaN
8      8    0.809331    0.859060    0.285714  0.666667   NaN"
