,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC_8,AUROC_9,error_rate_8,error_rate_9
10,resnet18_0.01_none_False,resnet18,none,False,0.01,11,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.812283    0.898927        0.55   0.49   NaN
1      1    0.875975    1.114994        0.65   0.40   NaN
2      2    0.883978    0.949825        0.40   0.61   NaN
3      3    0.938597    0.747906        0.40   0.72   NaN
4      4    0.879322    0.748536        0.45   0.61   NaN
5      5    0.827935    0.894726        0.55   0.58   NaN
6      6    0.815192    0.844353        0.50   0.58   NaN
7      7    0.785346    0.746892        0.45   0.64   NaN
8      8    0.731082    0.828126        0.50   0.58   NaN",0.64,0.58,0.45,0.5
11,resnet18_0.01_none_False,resnet18,none,False,0.01,12,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.252241    0.783492        0.50   0.49   NaN
1      1    0.964785    0.724047        0.30   0.65   NaN
2      2    0.916525    1.002062        0.50   0.49   NaN
3      3    0.912098    0.808022        0.45   0.51   NaN
4      4    0.841289    0.666802        0.45   0.66   NaN
5      5    0.829165    0.765167        0.50   0.63   NaN
6      6    0.724100    0.915666        0.50   0.57   NaN
7      7    0.770772    0.852772        0.50   0.55   NaN
8      8    0.711871    0.818426        0.45   0.57   NaN",0.55,0.57,0.5,0.45
12,resnet18_0.01_none_False,resnet18,none,False,0.01,13,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.864777    0.636270    0.500000  0.629630   NaN
1      1    0.864509    0.946343    0.666667  0.320988   NaN
2      2    0.797776    1.566086    0.666667  0.209877   NaN
3      3    0.801651    1.126685    0.611111  0.333333   NaN
4      4    0.718991    1.200047    0.444444  0.432099   NaN
5      5    0.690841    1.029456    0.444444  0.506173   NaN
6      6    0.758876    1.074774    0.500000  0.419753   NaN
7      7    0.665360    0.931325    0.555556  0.469136   NaN
8      8    0.667446    1.034781    0.500000  0.456790   NaN",0.46913599999999994,0.45679,0.555556,0.5
13,resnet18_0.01_none_False,resnet18,none,False,0.01,14,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.998098    0.698414    0.388889  0.629630   NaN
1      1    0.899359    0.724661    0.500000  0.555556   NaN
2      2    0.885353    0.763147    0.555556  0.530864   NaN
3      3    0.833237    0.967683    0.666667  0.481481   NaN
4      4    0.843117    0.790796    0.555556  0.407407   NaN
5      5    0.786184    0.842101    0.388889  0.518519   NaN
6      6    0.797798    0.687773    0.555556  0.617284   NaN
7      7    0.766490    0.660138    0.500000  0.629630   NaN
8      8    0.727353    0.736065    0.333333  0.592593   NaN",0.62963,0.592593,0.5,0.333333
14,resnet18_0.01_none_False,resnet18,none,False,0.01,15,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.969022    0.942747    0.666667  0.308642   NaN
1      1    0.918044    0.886811    0.555556  0.382716   NaN
2      2    0.906633    0.801442    0.500000  0.617284   NaN
3      3    0.928602    0.691189    0.444444  0.691358   NaN
4      4    0.851330    0.800909    0.500000  0.592593   NaN
5      5    0.717866    0.848235    0.444444  0.580247   NaN
6      6    0.685838    0.734330    0.444444  0.654321   NaN
7      7    0.710203    0.808477    0.333333  0.604938   NaN
8      8    0.747842    0.833656    0.388889  0.666667   NaN",0.604938,0.666667,0.333333,0.388889
15,resnet18_0.01_none_False,resnet18,none,False,0.01,16,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.899227    0.665434        0.50   0.65   NaN
1      1    0.885916    0.847464        0.50   0.48   NaN
2      2    0.861231    0.770159        0.50   0.58   NaN
3      3    0.904899    0.746324        0.45   0.62   NaN
4      4    0.840405    0.692334        0.40   0.65   NaN
5      5    0.786395    0.752587        0.50   0.62   NaN
6      6    0.754287    0.713434        0.45   0.67   NaN
7      7    0.718771    0.756562        0.45   0.60   NaN
8      8    0.733649    0.722509        0.40   0.68   NaN",0.6,0.68,0.45,0.4
16,resnet18_0.01_none_False,resnet18,none,False,0.01,17,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.826852    0.707192        0.45   0.61   NaN
1      1    0.830326    0.619047        0.35   0.71   NaN
2      2    0.897506    0.622783        0.45   0.73   NaN
3      3    0.853366    0.632202        0.45   0.63   NaN
4      4    0.888750    0.547060        0.40   0.79   NaN
5      5    0.781851    0.707887        0.30   0.69   NaN
6      6    0.819897    0.574197        0.35   0.76   NaN
7      7    0.764302    0.589172        0.30   0.76   NaN
8      8    0.772332    0.566468        0.35   0.80   NaN",0.76,0.8,0.3,0.35
17,resnet18_0.01_none_False,resnet18,none,False,0.01,18,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.898376    0.569723    0.277778  0.839506   NaN
1      1    0.920003    0.954648    0.555556  0.407407   NaN
2      2    1.001748    0.830023    0.388889  0.654321   NaN
3      3    0.860563    0.874291    0.555556  0.629630   NaN
4      4    0.794669    0.770767    0.500000  0.666667   NaN
5      5    0.701614    0.689504    0.388889  0.716049   NaN
6      6    0.713636    0.748849    0.555556  0.728395   NaN
7      7    0.784059    0.706830    0.388889  0.753086   NaN
8      8    0.797610    0.674877    0.444444  0.691358   NaN",0.7530859999999999,0.691358,0.388889,0.44444399999999995
18,resnet18_0.01_none_False,resnet18,none,False,0.01,19,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.918848    0.837424    0.555556  0.481481   NaN
1      1    1.041738    0.869302    0.500000  0.506173   NaN
2      2    0.946954    0.972169    0.611111  0.320988   NaN
3      3    0.948748    0.845941    0.500000  0.469136   NaN
4      4    0.845633    0.843854    0.500000  0.432099   NaN
5      5    0.842011    0.882404    0.444444  0.493827   NaN
6      6    0.826709    0.811239    0.388889  0.444444   NaN
7      7    0.678707    0.821385    0.388889  0.518519   NaN
8      8    0.686285    0.784721    0.388889  0.530864   NaN",0.518519,0.530864,0.388889,0.388889
19,resnet18_0.01_none_False,resnet18,none,False,0.01,20,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.842163    0.862935    0.444444  0.382716   NaN
1      1    0.849292    0.899393    0.500000  0.506173   NaN
2      2    0.851732    0.950110    0.444444  0.493827   NaN
3      3    0.834637    0.967535    0.555556  0.382716   NaN
4      4    0.860107    1.078781    0.611111  0.345679   NaN
5      5    0.765953    0.891892    0.500000  0.530864   NaN
6      6    0.675149    0.912849    0.444444  0.493827   NaN
7      7    0.659677    0.859078    0.500000  0.481481   NaN
8      8    0.684364    0.737891    0.444444  0.604938   NaN",0.48148100000000005,0.604938,0.5,0.44444399999999995
