,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC,error_rate
0,resnet50_0.01_modified_True,resnet50,modified,True,0.01,1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.236989    0.621563        0.45   0.74   NaN
1      1    1.008878    0.620086        0.35   0.66   NaN
2      2    0.967460    1.691509        0.60   0.27   NaN
3      3    0.858266    0.971848        0.60   0.32   NaN
4      4    0.827335    0.845721        0.55   0.37   NaN",0.37,0.55
1,resnet50_0.01_modified_True,resnet50,modified,True,0.01,2,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.836099    1.281972        0.55   0.40   NaN
1      1    0.910281    0.967853        0.35   0.66   NaN
2      2    0.916384    0.755789        0.60   0.46   NaN
3      3    0.901751    0.895185        0.55   0.61   NaN
4      4    0.885102    0.772253        0.60   0.48   NaN",0.48,0.6
2,resnet50_0.01_modified_True,resnet50,modified,True,0.01,3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.994293    0.718210    0.444444  0.567901   NaN
1      1    0.956633    0.886423    0.500000  0.296296   NaN
2      2    0.942832    0.722340    0.444444  0.407407   NaN
3      3    0.930691    0.776370    0.666667  0.493827   NaN
4      4    0.948552    0.732849    0.555556  0.395062   NaN",0.39506199999999997,0.555556
3,resnet50_0.01_modified_True,resnet50,modified,True,0.01,4,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.124782    1.905655    0.500000  0.370370   NaN
1      1    1.097017    0.950730    0.500000  0.469136   NaN
2      2    1.019765    0.768516    0.388889  0.592593   NaN
3      3    0.983463    0.786962    0.500000  0.469136   NaN
4      4    0.906155    0.741759    0.444444  0.592593   NaN",0.592593,0.44444399999999995
4,resnet50_0.01_modified_True,resnet50,modified,True,0.01,5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.060114    1.502797    0.500000  0.592593   NaN
1      1    0.914591    0.930270    0.611111  0.358025   NaN
2      2    1.143927    1.244860    0.555556  0.617284   NaN
3      3    0.946515    0.665208    0.333333  0.592593   NaN
4      4    0.900773    0.637703    0.333333  0.740741   NaN",0.740741,0.333333
5,resnet50_0.01_modified_True,resnet50,modified,True,0.01,6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.887451    1.990974        0.55   0.35   NaN
1      1    0.974337    0.937445        0.55   0.54   NaN
2      2    1.072416    0.906695        0.55   0.49   NaN
3      3    1.009953    0.645955        0.35   0.68   NaN
4      4    0.932928    0.694019        0.50   0.58   NaN",0.58,0.5
6,resnet50_0.01_modified_True,resnet50,modified,True,0.01,7,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.839838    2.750515        0.60   0.40   NaN
1      1    0.998062    0.610228        0.40   0.72   NaN
2      2    0.935505    1.017019        0.45   0.50   NaN
3      3    0.900038    0.729603        0.55   0.43   NaN
4      4    0.882351    0.688919        0.55   0.52   NaN",0.52,0.55
7,resnet50_0.01_modified_True,resnet50,modified,True,0.01,8,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.169081    1.803590    0.500000  0.543210   NaN
1      1    0.936405    0.933560    0.444444  0.506173   NaN
2      2    0.864348    0.848184    0.666667  0.283951   NaN
3      3    0.818100    0.879127    0.722222  0.271605   NaN
4      4    0.853657    0.781606    0.611111  0.222222   NaN",0.22222199999999998,0.611111
8,resnet50_0.01_modified_True,resnet50,modified,True,0.01,9,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.149743    1.938219    0.611111  0.320988   NaN
1      1    1.071334    0.712127    0.500000  0.506173   NaN
2      2    0.891948    0.811793    0.500000  0.518519   NaN
3      3    0.948933    0.775518    0.611111  0.395062   NaN
4      4    0.937038    0.802485    0.611111  0.382716   NaN",0.382716,0.611111
9,resnet50_0.01_modified_True,resnet50,modified,True,0.01,10,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.104996    0.718213    0.444444  0.518519   NaN
1      1    0.890898    0.803431    0.555556  0.345679   NaN
2      2    0.954267    0.771809    0.333333  0.530864   NaN
3      3    1.022179    0.688848    0.444444  0.580247   NaN
4      4    0.912702    0.657002    0.444444  0.876543   NaN",0.8765430000000001,0.44444399999999995
