,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,error_rate,train_df
14,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,5,0.5432100000000001,0.44444399999999995,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    2.156157   14.773577    0.500000  0.654321   NaN
1      1   12.591024   48.061283    0.500000  0.555556   NaN
2      2   17.686563   62.626003    0.388889  0.635802   NaN
3      3   17.212870   11.048491    0.388889  0.629630   NaN
4      4   13.845711    6.041765    0.444444  0.543210   NaN"
15,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,1,0.49,0.6,"   epoch  train_loss   valid_loss  error_rate  AUROC  time
0      0    8.376210    85.820328        0.50  0.500   NaN
1      1   63.549137   452.080658        0.30  0.670   NaN
2      2   87.998772   718.156128        0.55  0.435   NaN
3      3  119.328049   693.587769        0.50  0.500   NaN
4      4   99.314751  9140.821289        0.60  0.490   NaN"
16,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,2,0.49,0.45,"   epoch  train_loss   valid_loss  error_rate  AUROC  time
0      0    9.177920   127.418350        0.50  0.505   NaN
1      1   51.844139   428.583649        0.50  0.465   NaN
2      2  140.955444   331.469604        0.45  0.550   NaN
3      3  139.209412  1728.731689        0.50  0.500   NaN
4      4  114.116165  1963.828125        0.45  0.490   NaN"
17,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,3,0.39506199999999997,0.5,"   epoch  train_loss   valid_loss  error_rate     AUROC  time
0      0    6.073996   100.252487    0.555556  0.444444   NaN
1      1   66.950493   530.812744    0.444444  0.555556   NaN
2      2  124.542015  1368.156006    0.611111  0.388889   NaN
3      3  105.519966   150.972092    0.500000  0.413580   NaN
4      4  109.386375  1068.993652    0.500000  0.395062   NaN"
18,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,4,0.419753,0.611111,"   epoch  train_loss     valid_loss  error_rate     AUROC  time
0      0    7.607596    5105.801270    0.500000  0.500000   NaN
1      1   78.631500   40631.757812    0.500000  0.500000   NaN
2      2  177.734573  450417.000000    0.500000  0.500000   NaN
3      3  180.175766    6458.139648    0.444444  0.555556   NaN
4      4  136.864594     404.300903    0.611111  0.419753   NaN"
19,resnet18_0.01_0.3_modified_True,resnet18,modified,true,0.01,5,0.611111,0.388889,"   epoch  train_loss   valid_loss  error_rate     AUROC  time
0      0    7.679898    66.025909    0.666667  0.333333   NaN
1      1   84.941925  4242.508789    0.500000  0.500000   NaN
2      2  167.312042   175.230957    0.444444  0.555556   NaN
3      3  154.097214   595.971863    0.444444  0.629630   NaN
4      4  109.890427  3690.821289    0.388889  0.611111   NaN"
20,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,1,0.41,0.5,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.029165    0.859060        0.35   0.62   NaN
1      1    1.174697    1.077661        0.60   0.41   NaN
2      2    1.213730    1.263335        0.40   0.51   NaN
3      3    1.353218    1.415234        0.60   0.38   NaN
4      4    1.391794    1.518832        0.60   0.39   NaN
5      5    1.411133    1.830769        0.65   0.31   NaN
6      6    1.312019    1.622156        0.50   0.41   NaN"
21,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,2,0.44,0.55,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.932834    1.112227        0.55   0.52   NaN
1      1    1.035660    1.366961        0.55   0.47   NaN
2      2    1.164434    2.385454        0.55   0.30   NaN
3      3    1.237852    1.767846        0.55   0.37   NaN
4      4    1.188314    1.269714        0.55   0.42   NaN
5      5    1.200835    1.178843        0.40   0.46   NaN
6      6    1.140433    1.087655        0.55   0.44   NaN"
22,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,3,0.518519,0.44444399999999995,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.967449    0.965199    0.555556  0.493827   NaN
1      1    1.143929    0.752047    0.277778  0.728395   NaN
2      2    1.196868    2.138109    0.500000  0.395062   NaN
3      3    1.403587    1.268005    0.555556  0.407407   NaN
4      4    1.325679    0.597786    0.333333  0.728395   NaN
5      5    1.179474    0.613638    0.388889  0.691358   NaN
6      6    1.074121    0.870533    0.444444  0.518519   NaN"
23,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,4,0.44444399999999995,0.555556,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.042744    1.449227    0.666667  0.358025   NaN
1      1    1.037320    1.202988    0.555556  0.617284   NaN
2      2    1.175388    0.864565    0.500000  0.555556   NaN
3      3    1.235300    1.718247    0.611111  0.358025   NaN
4      4    1.297333    0.721838    0.333333  0.716049   NaN
5      5    1.290260    0.952577    0.500000  0.469136   NaN
6      6    1.169064    0.990848    0.555556  0.444444   NaN"
